date,total_orders,total_revenue,total_items_sold,avg_order_value,completed_orders
2023-09-16,11,6520.3099999999995,37,592.76,8
2023-09-17,9,6066.5,34,674.06,7
2023-09-18,5,5164.17,21,1032.83,4
2023-09-19,9,4201.76,27,466.86,7
2023-09-20,9,10919.87,41,1213.32,7
2023-09-21,8,3495.95,19,436.99,6
2023-09-22,11,6471.52,37,588.32,10
2023-09-23,13,13669.08,54,1051.47,11
2023-09-24,6,1436.08,13,239.35,4
2023-09-25,11,9395.69,47,854.15,7
2023-09-26,8,6690.860000000001,27,836.36,6
2023-09-27,13,15721.51,74,1209.35,9
2023-09-28,11,8313.33,44,755.76,6
2023-09-29,17,8632.19,56,507.78,12
2023-09-30,4,2303.64,11,575.91,2
2023-10-01,13,11539.46,44,887.65,9
2023-10-02,10,6540.58,35,654.06,9
2023-10-03,15,10438.5,50,695.9,9
2023-10-04,6,3677.34,21,612.89,3
2023-10-05,9,5978.01,26,664.22,5
2023-10-06,9,7613.32,30,845.92,7
2023-10-07,13,6891.9800000000005,44,530.15,8
2023-10-08,10,8484.289999999999,40,848.43,7
2023-10-09,6,4138.02,17,689.67,6
2023-10-10,11,9500.53,34,863.68,6
2023-10-11,9,2803.88,10,311.54,7
2023-10-12,13,7446.87,58,572.84,11
2023-10-13,14,11006.5,46,786.18,11
2023-10-14,8,5787.42,32,723.43,6
2023-10-15,12,11815.47,39,984.62,9
2023-10-16,14,10760.59,48,768.61,11
2023-10-17,13,8483.5,39,652.58,8
2023-10-18,11,4986.11,27,453.28,11
2023-10-19,12,10254.19,35,854.52,9
2023-10-20,12,7462.2,35,621.85,10
2023-10-21,11,5327.78,24,484.34,8
2023-10-22,16,6957.09,54,434.82,11
2023-10-23,14,12868.4,53,919.17,6
2023-10-24,15,10087.8,48,672.52,11
2023-10-25,14,12844.68,48,917.48,10
2023-10-26,15,12799.17,45,853.28,11
2023-10-27,7,3135.21,25,447.89,4
2023-10-28,10,6162.71,39,616.27,5
2023-10-29,14,9469.88,42,676.42,13
2023-10-30,20,19141.26,85,957.06,17
2023-10-31,6,4368.25,19,728.04,6
2023-11-01,8,2686.9700000000003,18,335.87,5
2023-11-02,11,8185.5,49,744.14,9
2023-11-03,11,5940.88,31,540.08,6
2023-11-04,14,12715.5,57,908.25,9
2023-11-05,10,12687.050000000001,38,1268.71,6
2023-11-06,14,16821.55,46,1201.54,12
2023-11-07,12,11267.62,43,938.97,8
2023-11-08,10,12130.869999999999,37,1213.09,5
2023-11-09,14,11028.16,46,787.73,11
2023-11-10,4,1299.12,14,324.78,3
2023-11-11,10,4329.0599999999995,37,432.91,7
2023-11-12,9,4889.96,36,543.33,6
2023-11-13,12,13301.58,51,1108.46,9
2023-11-14,11,4427.63,30,402.51,8
2023-11-15,6,9467.44,24,1577.91,4
2023-11-16,13,9303.91,55,715.69,11
2023-11-17,18,18916.25,71,1050.9,12
2023-11-18,13,11944.19,46,918.78,10
2023-11-19,11,9762.12,52,887.47,9
2023-11-20,13,7220.45,55,555.42,8
2023-11-21,13,3606.3100000000004,29,277.41,11
2023-11-22,13,12516.7,51,962.82,9
2023-11-23,11,6958.7,38,632.61,8
2023-11-24,11,7539.95,28,685.45,9
2023-11-25,13,9955.26,50,765.79,6
2023-11-26,10,7190.160000000001,34,719.02,6
2023-11-27,10,6180.47,30,618.05,6
2023-11-28,11,6540.13,38,594.56,9
2023-11-29,10,8137.7,28,813.77,7
2023-11-30,12,5934.52,35,494.54,9
2023-12-01,12,5857.86,30,488.16,9
2023-12-02,12,8627.04,41,718.92,8
2023-12-03,12,4005.26,26,333.77,8
2023-12-04,12,8826.04,39,735.5,10
2023-12-05,11,9211.29,36,837.39,8
2023-12-06,18,14261.38,54,792.3,10
2023-12-07,5,2969.49,18,593.9,5
2023-12-08,10,11079.5,43,1107.95,8
2023-12-09,6,5711.36,27,951.89,6
2023-12-10,17,9827.15,48,578.07,12
2023-12-11,9,4624.44,29,513.83,8
2023-12-12,11,4764.09,25,433.1,8
2023-12-13,10,9031.74,37,903.17,6
2023-12-14,8,6966.15,29,870.77,3
2023-12-15,12,6785.42,42,565.45,8
2023-12-16,8,4270.22,17,533.78,5
2023-12-17,7,2280.63,23,325.8,4
2023-12-18,12,4042.58,23,336.88,10
2023-12-19,10,5368.05,25,536.81,8
2023-12-20,8,9376.35,27,1172.04,7
2023-12-21,6,8109.95,28,1351.66,4
2023-12-22,8,6316.24,41,789.53,6
2023-12-23,11,10327.17,38,938.83,8
2023-12-24,9,6484.69,40,720.52,8
2023-12-25,11,5044.48,31,458.59,6
2023-12-26,8,6291.900000000001,29,786.49,6
2023-12-27,15,11796.65,58,786.44,12
2023-12-28,14,7293.68,54,520.98,11
2023-12-29,11,8604.07,31,782.19,8
2023-12-30,8,10415.130000000001,32,1301.89,6
2023-12-31,6,2277.65,24,379.61,4
2024-01-01,9,10089.05,27,1121.01,6
2024-01-02,10,5762.62,39,576.26,6
2024-01-03,11,10627.46,34,966.13,8
2024-01-04,10,6110.65,37,611.06,8
2024-01-05,12,7146.92,39,595.58,10
2024-01-06,15,11867.74,60,791.18,11
2024-01-07,8,5477.74,28,684.72,5
2024-01-08,8,4519.01,26,564.88,5
2024-01-09,7,6140.49,22,877.21,5
2024-01-10,8,2752.29,18,344.04,7
2024-01-11,9,8338.55,47,926.51,7
2024-01-12,11,6161.36,30,560.12,9
2024-01-13,14,7268.1,46,519.15,10
2024-01-14,11,6003.6900000000005,36,545.79,6
2024-01-15,11,4883.41,33,443.95,4
2024-01-16,12,13967.83,50,1163.99,6
2024-01-17,7,2981.15,24,425.88,6
2024-01-18,18,15232.69,50,846.26,15
2024-01-19,16,9976.81,40,623.55,11
2024-01-20,12,6593.7699999999995,27,549.48,8
2024-01-21,13,8855.67,53,681.21,10
2024-01-22,14,14016.16,50,1001.15,9
2024-01-23,9,8390.98,32,932.33,8
2024-01-24,15,14954.880000000001,63,996.99,9
2024-01-25,11,5753.900000000001,41,523.08,8
2024-01-26,18,7622.23,40,423.46,16
2024-01-27,9,3708.93,27,412.1,5
2024-01-28,12,7628.13,36,635.68,9
2024-01-29,17,11461.06,66,674.18,14
2024-01-30,9,7463.9400000000005,37,829.33,6
2024-01-31,5,3306.76,23,661.35,2
2024-02-01,8,6404.0199999999995,35,800.5,8
2024-02-02,13,15331.42,56,1179.34,10
2024-02-03,7,13653.86,32,1950.55,7
2024-02-04,9,7445.67,34,827.3,8
2024-02-05,11,7982.56,40,725.69,6
2024-02-06,5,4525.45,16,905.09,2
2024-02-07,15,12050.31,52,803.35,11
2024-02-08,12,10243.18,52,853.6,9
2024-02-09,14,14868.69,42,1062.05,11
2024-02-10,9,7387.969999999999,25,820.89,7
2024-02-11,18,19204.68,68,1066.93,13
2024-02-12,11,10751.22,48,977.38,9
2024-02-13,8,5264.0,31,658.0,8
2024-02-14,10,18358.36,36,1835.84,9
2024-02-15,13,16472.82,46,1267.14,10
2024-02-16,6,5296.44,26,882.74,4
2024-02-17,6,4069.06,18,678.18,3
2024-02-18,12,11091.03,59,924.25,8
2024-02-19,6,6042.599999999999,23,1007.1,4
2024-02-20,10,4583.139999999999,30,458.31,8
2024-02-21,15,11091.15,54,739.41,12
2024-02-22,8,5571.07,28,696.38,4
2024-02-23,9,7434.349999999999,26,826.04,9
2024-02-24,9,9673.0,31,1074.78,6
2024-02-25,10,6847.51,42,684.75,8
2024-02-26,13,8735.84,43,671.99,10
2024-02-27,10,7782.57,38,778.26,5
2024-02-28,16,12846.67,70,802.92,13
2024-02-29,11,3796.7,25,345.15,8
2024-03-01,12,6789.03,33,565.75,8
2024-03-02,16,4170.88,40,260.68,12
2024-03-03,5,1695.2,12,339.04,1
2024-03-04,13,12109.460000000001,50,931.5,11
2024-03-05,13,11983.4,33,921.8,12
2024-03-06,8,4544.13,28,568.02,4
2024-03-07,8,8280.24,30,1035.03,5
2024-03-08,9,3495.67,19,388.41,6
2024-03-09,19,15113.79,77,795.46,15
2024-03-10,12,10319.85,38,859.99,9
2024-03-11,12,7819.72,44,651.64,10
2024-03-12,10,7851.16,47,785.12,5
2024-03-13,9,8531.63,42,947.96,6
2024-03-14,13,7904.07,40,608.01,7
2024-03-15,14,11208.35,56,800.6,10
2024-03-16,13,7934.3,61,610.33,12
2024-03-17,9,6175.04,34,686.12,6
2024-03-18,7,6398.07,21,914.01,7
2024-03-19,8,6646.93,35,830.87,5
2024-03-20,11,4727.25,30,429.75,8
2024-03-21,7,1166.84,12,166.69,6
2024-03-22,13,13999.86,60,1076.91,10
2024-03-23,9,5860.2,33,651.13,7
2024-03-24,16,17330.37,58,1083.15,11
2024-03-25,12,6238.16,49,519.85,8
2024-03-26,12,11452.0,47,954.33,9
2024-03-27,10,6025.42,31,602.54,7
2024-03-28,17,11830.66,59,695.92,14
2024-03-29,10,13647.98,49,1364.8,6
2024-03-30,15,9766.51,64,651.1,11
2024-03-31,9,6977.68,31,775.3,8
2024-04-01,19,15806.98,53,831.95,14
2024-04-02,12,9496.57,55,791.38,8
2024-04-03,2,573.73,7,286.86,0
2024-04-04,14,11106.6,43,793.33,9
2024-04-05,12,7188.05,33,599.0,10
2024-04-06,12,7350.14,42,612.51,8
2024-04-07,9,7227.28,24,803.03,8
2024-04-08,12,7565.79,35,630.48,7
2024-04-09,14,6796.51,42,485.46,9
2024-04-10,14,8013.95,57,572.42,9
2024-04-11,9,7195.9,40,799.54,5
2024-04-12,12,14734.33,62,1227.86,9
2024-04-13,13,11888.67,55,914.51,6
2024-04-14,10,4015.04,30,401.5,4
2024-04-15,7,8403.12,32,1200.45,5
2024-04-16,10,9278.32,35,927.83,6
2024-04-17,11,11478.01,47,1043.46,8
2024-04-18,10,8658.76,30,865.88,8
2024-04-19,7,1726.07,13,246.58,6
2024-04-20,13,8910.73,38,685.44,8
2024-04-21,9,5661.46,40,629.05,5
2024-04-22,6,9631.21,23,1605.2,6
2024-04-23,6,2807.34,22,467.89,3
2024-04-24,10,8866.58,53,886.66,10
2024-04-25,8,11684.46,36,1460.56,7
2024-04-26,16,10238.34,60,639.9,13
2024-04-27,13,7238.08,44,556.78,7
2024-04-28,12,9971.88,39,830.99,9
2024-04-29,18,17897.46,77,994.3,12
2024-04-30,17,15979.050000000001,60,939.94,12
2024-05-01,9,5978.1900000000005,30,664.24,6
2024-05-02,15,13155.0,48,877.0,10
2024-05-03,11,7299.41,35,663.58,8
2024-05-04,10,8525.41,31,852.54,7
2024-05-05,8,2971.09,23,371.39,5
2024-05-06,9,2274.45,20,252.72,7
2024-05-07,4,2440.65,10,610.16,3
2024-05-08,16,9588.76,56,599.3,12
2024-05-09,13,8185.9400000000005,36,629.69,7
2024-05-10,9,9838.33,31,1093.15,5
2024-05-11,11,11664.76,39,1060.43,6
2024-05-12,9,8035.15,33,892.79,5
2024-05-13,12,8340.51,32,695.04,8
2024-05-14,12,8054.13,52,671.18,8
2024-05-15,15,11620.970000000001,53,774.73,13
2024-05-16,11,3526.36,34,320.58,10
2024-05-17,14,9610.29,45,686.45,11
2024-05-18,14,15474.05,59,1105.29,9
2024-05-19,13,14062.529999999999,48,1081.73,9
2024-05-20,13,9763.69,55,751.05,6
2024-05-21,12,9178.83,47,764.9,11
2024-05-22,14,9493.73,44,678.12,11
2024-05-23,9,5201.43,32,577.94,6
2024-05-24,10,8647.25,41,864.72,9
2024-05-25,13,9326.289999999999,44,717.41,10
2024-05-26,14,12371.48,40,883.68,10
2024-05-27,11,8782.02,43,798.37,8
2024-05-28,12,13665.519999999999,44,1138.79,8
2024-05-29,11,7564.719999999999,33,687.7,6
2024-05-30,15,15959.48,67,1063.97,11
2024-05-31,14,13718.39,46,979.88,14
2024-06-01,10,6321.78,34,632.18,8
2024-06-02,6,3286.58,17,547.76,4
2024-06-03,14,6987.5599999999995,46,499.11,12
2024-06-04,13,11127.99,44,856.0,8
2024-06-05,8,4401.57,34,550.2,4
2024-06-06,8,6136.46,28,767.06,5
2024-06-07,12,12968.64,45,1080.72,9
2024-06-08,5,2074.51,12,414.9,5
2024-06-09,9,3722.97,20,413.66,7
2024-06-10,7,3046.9900000000002,20,435.28,5
2024-06-11,12,16482.52,44,1373.54,9
2024-06-12,12,4589.03,38,382.42,8
2024-06-13,9,9508.02,36,1056.45,6
2024-06-14,9,12638.73,44,1404.3,8
2024-06-15,14,9537.029999999999,40,681.22,8
2024-06-16,12,8449.380000000001,40,704.12,10
2024-06-17,10,4068.61,28,406.86,5
2024-06-18,7,4064.9399999999996,15,580.71,4
2024-06-19,16,6422.26,42,401.39,11
2024-06-20,8,7839.419999999999,26,979.93,2
2024-06-21,9,8870.23,46,985.58,9
2024-06-22,10,9031.97,43,903.2,8
2024-06-23,14,18513.9,87,1322.42,8
2024-06-24,13,7116.74,36,547.44,12
2024-06-25,7,9183.63,38,1311.95,6
2024-06-26,8,4646.28,31,580.78,6
2024-06-27,12,10588.59,52,882.38,8
2024-06-28,10,7384.76,35,738.48,6
2024-06-29,14,7942.9,49,567.35,8
2024-06-30,16,15203.53,71,950.22,14
2024-07-01,10,5439.44,29,543.94,8
2024-07-02,10,7458.06,39,745.81,6
2024-07-03,14,11422.69,39,815.91,9
2024-07-04,12,12201.24,45,1016.77,7
2024-07-05,9,5051.58,34,561.29,6
2024-07-06,14,11652.61,54,832.33,12
2024-07-07,11,7994.0199999999995,30,726.73,7
2024-07-08,16,7983.25,51,498.95,14
2024-07-09,12,4987.29,37,415.61,5
2024-07-10,10,9676.35,49,967.64,7
2024-07-11,6,6417.32,16,1069.55,6
2024-07-12,8,4858.66,29,607.33,5
2024-07-13,8,4622.31,33,577.79,5
2024-07-14,5,3726.5299999999997,13,745.31,4
2024-07-15,8,4729.14,16,591.14,8
2024-07-16,11,9939.49,63,903.59,10
2024-07-17,7,4827.21,24,689.6,5
2024-07-18,10,8956.98,35,895.7,9
2024-07-19,13,4437.54,28,341.35,9
2024-07-20,17,12769.95,75,751.17,15
2024-07-21,10,10177.4,41,1017.74,6
2024-07-22,9,6514.32,28,723.81,7
2024-07-23,12,8678.12,43,723.18,10
2024-07-24,9,3278.65,27,364.29,6
2024-07-25,8,6048.63,34,756.08,6
2024-07-26,12,10845.08,37,903.76,8
2024-07-27,4,3000.77,18,750.19,3
2024-07-28,11,12386.93,49,1126.08,9
2024-07-29,14,12487.17,45,891.94,9
2024-07-30,8,5898.38,31,737.3,5
2024-07-31,11,6501.83,28,591.08,10
2024-08-01,9,6312.78,38,701.42,7
2024-08-02,13,10122.36,50,778.64,9
2024-08-03,18,15694.86,63,871.94,13
2024-08-04,8,5088.51,32,636.06,5
2024-08-05,7,4538.07,23,648.3,7
2024-08-06,11,8731.82,32,793.8,6
2024-08-07,12,16512.46,48,1376.04,9
2024-08-08,15,8517.02,52,567.8,11
2024-08-09,12,10340.84,33,861.74,9
2024-08-10,12,12022.880000000001,45,1001.91,7
2024-08-11,11,6134.5,28,557.68,9
2024-08-12,19,12209.49,71,642.6,11
2024-08-13,9,3089.92,19,343.32,5
2024-08-14,14,8854.18,46,632.44,11
2024-08-15,10,17548.760000000002,50,1754.88,6
2024-08-16,10,7842.04,29,784.2,7
2024-08-17,9,8044.7699999999995,35,893.86,6
2024-08-18,5,1657.79,13,331.56,4
2024-08-19,8,10032.02,49,1254.0,5
2024-08-20,10,8224.17,27,822.42,9
2024-08-21,6,3922.12,19,653.69,4
2024-08-22,7,3383.66,24,483.38,6
2024-08-23,11,6745.52,47,613.23,8
2024-08-24,14,12924.18,52,923.16,6
2024-08-25,12,3871.63,31,322.64,9
2024-08-26,5,2102.86,15,420.57,4
2024-08-27,8,8515.77,29,1064.47,5
2024-08-28,12,8083.2,47,673.6,8
2024-08-29,12,6071.04,32,505.92,11
2024-08-30,7,8289.19,27,1184.17,6
2024-08-31,14,9016.37,30,644.03,7
2024-09-01,9,2580.25,21,286.69,8
2024-09-02,13,13509.29,42,1039.18,6
2024-09-03,12,4736.45,42,394.7,8
2024-09-04,9,6528.54,29,725.39,8
2024-09-05,9,5600.12,29,622.24,6
2024-09-06,15,7237.8099999999995,43,482.52,9
2024-09-07,5,3426.4500000000003,17,685.29,5
